,movies
2013,Suicide Squad (2016)
2014,Ted 2 (2015)
2015,Minions (2015)
2016,The Good Dinosaur (2015)
2017,The Man from U.N.C.L.E. (2015)
2018,Sorrow (2015)
2019,Southpaw (2015)
2020,10 Cent Pistol (2015)
2021,How to Make Love Like an Englishman (2014)
2022,The Escort (2015)
2023,Burnt (2015)
2024,The Little Prince (2015)
2025,North Pole: Open For Christmas (2015)
2026,'Tis the Season for Love (2015)
2027,The Purge: Election Year (2016)
2028,Satanic (2016)
2029,La La Land (2016)
2030,Office Christmas Party (2016)
2031,Sing (2016)
2032,John Wick: Chapter Two (2017)
2033,The Gracefield Incident (2015)
2034,Midnight Cowboy (1969)
2035,"French Connection, The (1971)"
2036,Rosemary's Baby (1968)
2037,"Insider, The (1999)"
2038,Pollock (2000)
2039,Shadow of the Vampire (2000)
2040,In the Bedroom (2001)
2041,Secretary (2002)
2042,Punch-Drunk Love (2002)
2043,Lost in Translation (2003)
2044,Super Size Me (2004)
2045,Fahrenheit 9/11 (2004)
2046,Million Dollar Baby (2004)
2047,"Downfall (Untergang, Der) (2004)"
2048,Broken Flowers (2005)
2049,Brokeback Mountain (2005)
2050,Munich (2005)
2051,Stranger than Fiction (2006)
2052,Grindhouse (2007)
2053,Death Proof (2007)
2054,Superbad (2007)
2055,No Country for Old Men (2007)
2056,"Golden Compass, The (2007)"
2057,There Will Be Blood (2007)
2058,Charlie Wilson's War (2007)
2059,Man on Wire (2008)
2060,Burn After Reading (2008)
2061,Doubt (2008)
2062,Coraline (2009)
2063,Stanley Kubrick: A Life in Pictures (2001)
2064,"Serious Man, A (2009)"
2065,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
2066,Kids (1995)
2067,"Madness of King George, The (1994)"
2068,Vanya on 42nd Street (1994)
2069,Ghost in the Shell (Kôkaku kidôtai) (1995)
2070,Looking for Richard (1996)
2071,Delicatessen (1991)
2072,Ran (1985)
2073,"Killer, The (Die xue shuang xiong) (1989)"
2074,Stalker (1979)
2075,"Boot, Das (Boat, The) (1981)"
2076,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
2077,Rosencrantz and Guildenstern Are Dead (1990)
2078,Touch of Evil (1958)
2079,"Femme Nikita, La (Nikita) (1990)"
2080,Akira (1988)
2081,"Big Sleep, The (1946)"
2082,Fierce Creatures (1997)
2083,Lost Highway (1997)
2084,Midnight in the Garden of Good and Evil (1997)
2085,Fireworks (Hana-bi) (1997)
2086,Taste of Cherry (Ta'm e guilass) (1997)
2087,Fear and Loathing in Las Vegas (1998)
2088,"Last Emperor, The (1987)"
2089,Following (1998)
2090,"Red Violin, The (Violon rouge, Le) (1998)"
2091,"Killing, The (1956)"
2092,Barry Lyndon (1975)
2093,"Limey, The (1999)"
2094,Yojimbo (1961)
2095,Titus (1999)
2096,Hard-Boiled (Lat sau san taam) (1992)
2097,"Girl on the Bridge, The (Fille sur le pont, La) (1999)"
2098,Amores Perros (Love's a Bitch) (2000)
2099,Bob le Flambeur (1955)
2100,Equus (1977)
2101,Once a Thief (Zong heng si hai) (1991)
2102,Once Upon a Time in China (Wong Fei Hung) (1991)
2103,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)"
2104,Avalon (2001)
2105,Ninja Scroll (Jûbei ninpûchô) (1995)
2106,"Cercle Rouge, Le (Red Circle, The) (1970)"
2107,Gorky Park (1983)
2108,Beauty and the Beast (La belle et la bête) (1946)
2109,"Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)"
2110,Naked Lunch (1991)
2111,"Samouraï, Le (Godson, The) (1967)"
2112,Stray Dog (Nora inu) (1949)
2113,Dark Days (2000)
2114,Kikujiro (Kikujirô no natsu) (1999)
2115,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)"
2116,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)"
2117,"Jewel of the Nile, The (1985)"
2118,"Virgin Suicides, The (1999)"
2119,Dirty Harry (1971)
2120,The Count of Monte Cristo (2002)
2121,Frida (2002)
2122,Constantine (2005)
2123,"40-Year-Old Virgin, The (2005)"
2124,"Illusionist, The (2006)"
2125,Cloverfield (2008)
2126,Pineapple Express (2008)
2127,Tropic Thunder (2008)
2128,Midnight in Paris (2011)
2129,"Great Gatsby, The (2013)"
2130,Man Up (2015)
2131,Avengers: Infinity War - Part I (2018)
2132,Thor: Ragnarok (2017)
2133,Blade Runner 2049 (2017)
2134,Incredibles 2 (2018)
2135,Deadpool 2 (2018)
2136,Far From Home: The Adventures of Yellow Dog (1995)
2137,Black Beauty (1994)
2138,Alaska (1996)
2139,"African Queen, The (1951)"
2140,"Great Race, The (1965)"
2141,"Great Escape, The (1963)"
2142,Ben-Hur (1959)
2143,Jaws (1975)
2144,Air Bud (1997)
2145,"Barefoot Executive, The (1971)"
2146,"American Tail: Fievel Goes West, An (1991)"
2147,"Gods Must Be Crazy II, The (1989)"
2148,2010: The Year We Make Contact (1984)
2149,Beneath the Planet of the Apes (1970)
2150,Conquest of the Planet of the Apes (1972)
2151,Thumbelina (1994)
2152,"Adventures of Elmo in Grouchland, The (1999)"
2153,Little Big Man (1970)
2154,"Raisin in the Sun, A (1961)"
2155,Guess Who's Coming to Dinner (1967)
2156,Force 10 from Navarone (1978)
2157,"Guns of Navarone, The (1961)"
2158,Footloose (1984)
2159,Kelly's Heroes (1970)
2160,Assassins (1995)
2161,"Basketball Diaries, The (1995)"
2162,"Browning Version, The (1994)"
2163,"Bronx Tale, A (1993)"
2164,Fresh (1994)
2165,Kalifornia (1993)
2166,"Perfect World, A (1993)"
2167,"Family Thing, A (1996)"
2168,Dead Man (1995)
2169,Basquiat (1996)
2170,"People vs. Larry Flynt, The (1996)"
2171,Bob Roberts (1992)
2172,"Day the Earth Stood Still, The (1951)"
2173,Fried Green Tomatoes (1991)
2174,"Man Who Would Be King, The (1975)"
2175,Absolute Power (1997)
2176,Smilla's Sense of Snow (1997)
2177,"Joy Luck Club, The (1993)"
2178,King of New York (1990)
2179,Dune (1984)
2180,Rounders (1998)
2181,One True Thing (1998)
2182,Savior (1998)
2183,"Castle, The (1997)"
2184,Stir of Echoes (1999)
2185,Boys Don't Cry (1999)
2186,Sydney (Hard Eight) (1996)
2187,Falling Down (1993)
2188,"River Runs Through It, A (1992)"
2189,Awakenings (1990)
2190,Backdraft (1991)
2191,The Falcon and the Snowman (1985)
2192,"Hurricane, The (1999)"
2193,Papillon (1973)
2194,Malcolm X (1992)
2195,Alive (1993)
2196,Scent of a Woman (1992)
2197,Patriot Games (1992)
2198,Howards End (1992)
2199,Of Mice and Men (1992)
2200,Bad Lieutenant (1992)
2201,Hoosiers (a.k.a. Best Shot) (1986)
2202,Diner (1982)
2203,Croupier (1998)
2204,Tigerland (2000)
2205,Men of Honor (2000)
2206,Gettysburg (1993)
2207,Reversal of Fortune (1990)
2208,Along Came a Spider (2001)
2209,Chopper (2000)
2210,Evolution (2001)
2211,Miracle Mile (1989)
2212,Black Robe (1991)
2213,Dinner Rush (2000)
2214,Little Man Tate (1991)
2215,Ali (2001)
2216,Black Hawk Down (2001)
2217,Dragon: The Bruce Lee Story (1993)
2218,We Were Soldiers (2002)
2219,"Rookie, The (2002)"
2220,Slap Shot (1977)
2221,"Salton Sea, The (2002)"
2222,Rabbit-Proof Fence (2002)
2223,Igby Goes Down (2002)
2224,Bloody Sunday (2002)
2225,"Grey Zone, The (2001)"
2226,Gallipoli (1981)
2227,About Schmidt (2002)
2228,Antwone Fisher (2002)
2229,Phone Booth (2002)
2230,Two Mules for Sister Sara (1970)
2231,Terminator 3: Rise of the Machines (2003)
2232,Dirty Pretty Things (2002)
2233,Seabiscuit (2003)
2234,Open Range (2003)
2235,Boyz N the Hood (1991)
2236,"White Hunter, Black Heart (1990)"
2237,"Station Agent, The (2003)"
2238,Veronica Guerin (2003)
2239,Master and Commander: The Far Side of the World (2003)
2240,21 Grams (2003)
2241,Bad Santa (2003)
2242,"Freshman, The (1990)"
2243,Hannah and Her Sisters (1986)
2244,Hoffa (1992)
2245,Lorenzo's Oil (1992)
2246,"Midnight Clear, A (1992)"
2247,Hero (Ying xiong) (2002)
2248,Miracle (2004)
2249,Enemy Mine (1985)
2250,Babylon 5: In the Beginning (1998)
2251,Animal Crackers (1930)
2252,Children of Dune (2003)
2253,Dune (2000)
2254,Highway 61 (1991)
2255,"Power of One, The (1992)"
2256,Gladiator (1992)
2257,"Doctor, The (1991)"
2258,Memphis Belle (1990)
2259,Animal Factory (2000)
2260,"Last Starfighter, The (1984)"
2261,AVP: Alien vs. Predator (2004)
2262,Shaun of the Dead (2004)
2263,Primer (2004)
2264,Friday Night Lights (2004)
2265,Vera Drake (2004)
2266,Alexander (2004)
2267,I Am David (2003)
2268,House of Flying Daggers (Shi mian mai fu) (2004)
2269,Lonesome Dove (1989)
2270,"Krays, The (1990)"
2271,Quigley Down Under (1990)
2272,Barbarians at the Gate (1993)
2273,Last of the Dogmen (1995)
2274,Ripley's Game (2002)
2275,Blueberry (2004)
2276,"Jacket, The (2005)"
2277,Starship Troopers 2: Hero of the Federation (2004)
2278,Stander (2003)
2279,Sergeant York (1941)
2280,Coach Carter (2005)
2281,Assault on Precinct 13 (2005)
2282,Crash (2004)
2283,"Snow Walker, The (2003)"
2284,Cinderella Man (2005)
2285,The Great Raid (2005)
2286,"Constant Gardener, The (2005)"
2287,Proof (2005)
2288,Green Street Hooligans (a.k.a. Hooligans) (2005)
2289,"Greatest Game Ever Played, The (2005)"
2290,"Squid and the Whale, The (2005)"
2291,"Proposition, The (2005)"
2292,"Weather Man, The (2005)"
2293,Jarhead (2005)
2294,Joyeux Noël (Merry Christmas) (2005)
2295,Syriana (2005)
2296,King Kong (2005)
2297,"Three Burials of Melquiades Estrada, The (2006)"
2298,Transamerica (2005)
2299,"World's Fastest Indian, The (2005)"
2300,Running Scared (2006)
2301,Ultraviolet (2006)
2302,16 Blocks (2006)
2303,Thank You for Smoking (2006)
2304,Tsotsi (2005)
2305,Brick (2005)
2306,On a Clear Day (2005)
2307,Babel (2006)
2308,The Queen (2006)
2309,Invincible (2006)
2310,"Wind That Shakes the Barley, The (2006)"
2311,All the King's Men (2006)
2312,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
2313,"Last King of Scotland, The (2006)"
2314,Catch a Fire (2006)
2315,Shooting Dogs (a.k.a. Beyond the Gates) (2005)
2316,Blood Diamond (2006)
2317,"Good Shepherd, The (2006)"
2318,Notes on a Scandal (2006)
2319,Letters from Iwo Jima (2006)
2320,Alpha Dog (2007)
2321,Breach (2007)
2322,Hot Fuzz (2007)
2323,Amazing Grace (2006)
2324,Shooter (2007)
2325,Black Book (Zwartboek) (2006)
2326,"Lookout, The (2007)"
2327,Sunshine (2007)
2328,This Is England (2006)
2329,Once (2006)
2330,Rescue Dawn (2006)
2331,1408 (2007)
2332,"Kingdom, The (2007)"
2333,"Nines, The (2007)"
2334,3:10 to Yuma (2007)
2335,"Brave One, The (2007)"
2336,In the Valley of Elah (2007)
2337,"Hunting Party, The (2007)"
2338,Elizabeth: The Golden Age (2007)
2339,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
2340,Elite Squad (Tropa de Elite) (2007)
2341,"Man from Earth, The (2007)"
2342,"Mist, The (2007)"
2343,"Bucket List, The (2007)"
2344,"Kite Runner, The (2007)"
2345,Battlestar Galactica: Razor (2007)
2346,"10,000 BC (2008)"
2347,21 (2008)
2348,"Visitor, The (2007)"
2349,Outpost (2008)
2350,"Fall, The (2006)"
2351,"Children of Huang Shi, The (2008)"
2352,Battle for Haditha (2007)
2353,Transsiberian (2008)
2354,Stargate: Continuum (2008)
2355,Shotgun Stories (2007)
2356,Felon (2008)
2357,"Midnight Meat Train, The (2008)"
2358,Frozen River (2008)
2359,"Walker, The (2007)"
2360,Henry Poole is Here (2008)
2361,Mutant Chronicles (2008)
2362,Waltz with Bashir (Vals im Bashir) (2008)
2363,Death Race (2008)
2364,Babylon A.D. (2008)
2365,Traitor (2008)
2366,Sunflower (Xiang ri kui) (2005)
2367,Appaloosa (2008)
2368,Body of Lies (2008)
2369,City of Ember (2008)
2370,Max Payne (2008)
2371,Pride and Glory (2008)
2372,"Express, The (2008)"
2373,RocknRolla (2008)
2374,Blindness (2008)
2375,Changeling (2008)
2376,Farscape: The Peacekeeper Wars (2004)
2377,Transporter 3 (2008)
2378,"Day the Earth Stood Still, The (2008)"
2379,Seven Pounds (2008)
2380,Valkyrie (2008)
2381,War of the Worlds (2005)
2382,Defiance (2008)
2383,Underworld: Rise of the Lycans (2009)
2384,Outlander (2008)
2385,Big Stan (2007)
2386,Crank: High Voltage (2009)
2387,Roots (1977)
2388,G.I. Joe: The Rise of Cobra (2009)
2389,Frequently Asked Questions About Time Travel (2009)
2390,Pandorum (2009)
2391,It's a Wonderful Life (1946)
2392,Lawrence of Arabia (1962)
2393,Glory (1989)
2394,Blues Brothers 2000 (1998)
2395,U.S. Marshals (1998)
2396,"Best Years of Our Lives, The (1946)"
2397,On the Waterfront (1954)
2398,History of the World: Part I (1981)
2399,American Graffiti (1973)
2400,Bill & Ted's Bogus Journey (1991)
2401,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)"
2402,The Alamo (2004)
2403,"Quiet Earth, The (1985)"
2404,Hearts of Darkness: A Filmmakers Apocalypse (1991)
2405,Frost/Nixon (2008)
2406,Super 8 (2011)
2407,Zero Dark Thirty (2012)
2408,"Perks of Being a Wallflower, The (2012)"
2409,One Fine Day (1996)
2410,"Pallbearer, The (1996)"
2411,"Christmas Carol, A (1938)"
2412,"Right Stuff, The (1983)"
2413,"Mirror Has Two Faces, The (1996)"
2414,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
2415,"Preacher's Wife, The (1996)"
2416,Jerry Maguire (1996)
2417,Bed of Roses (1996)
2418,"Crossing Guard, The (1995)"
2419,Smoke (1995)
2420,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
2421,Hoop Dreams (1994)
2422,"Hudsucker Proxy, The (1994)"
2423,Eraser (1996)
2424,"Streetcar Named Desire, A (1951)"
2425,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
2426,Touch (1997)
2427,Persuasion (1995)
2428,Beautiful Girls (1996)
2429,Immortal Beloved (1994)
2430,Three Colors: Blue (Trois couleurs: Bleu) (1993)
2431,Three Colors: White (Trzy kolory: Bialy) (1994)
2432,Swimming with Sharks (1995)
2433,"Man of No Importance, A (1994)"
2434,Farewell My Concubine (Ba wang bie ji) (1993)
2435,Widows' Peak (1994)
2436,Welcome to the Dollhouse (1995)
2437,Princess Caraboo (1994)
2438,Jane Eyre (1996)
2439,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
2440,"Time to Kill, A (1996)"
2441,Big Night (1996)
2442,Robin Hood: Prince of Thieves (1991)
2443,Jude (1996)
2444,Enchanted April (1992)
2445,Raise the Red Lantern (Da hong deng long gao gao gua) (1991)
2446,Ridicule (1996)
2447,Marvin's Room (1996)
2448,Kolya (Kolja) (1996)
2449,Private Parts (1997)
2450,Selena (1997)
2451,Shall We Dance? (Shall We Dansu?) (1996)
2452,Ponette (1996)
2453,Soul Food (1997)
2454,Ulee's Gold (1997)
2455,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)"
2456,"Rainmaker, The (1997)"
2457,Boogie Nights (1997)
2458,Suicide Kings (1997)
2459,"Man in the Iron Mask, The (1998)"
2460,"Gingerbread Man, The (1998)"
2461,Grand Canyon (1991)
2462,"Mighty, The (1998)"
2463,Gods and Monsters (1998)
2464,Central Station (Central do Brasil) (1998)
2465,"Simple Plan, A (1998)"
2466,Playing by Heart (1998)
2467,October Sky (1999)
2468,"Ideal Husband, An (1999)"
2469,Sommersby (1993)
2470,Indochine (1992)
2471,Dungeons & Dragons (2000)
2472,Vampire Hunter D: Bloodlust (Banpaia hantâ D) (2000)
2473,Mr. Deeds (2002)
2474,Ringu (Ring) (1998)
2475,Buffalo Soldiers (2001)
2476,Shaolin Soccer (Siu lam juk kau) (2001)
2477,"Chinese Ghost Story, A (Sinnui yauwan) (1987)"
2478,Taxi 2 (2000)
2479,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004)
2480,Ong-Bak: The Thai Warrior (Ong Bak) (2003)
2481,Appleseed (Appurushîdo) (2004)
2482,Hard Candy (2005)
2483,Striking Distance (1993)
2484,Indecent Proposal (1993)
2485,"Golden Child, The (1986)"
2486,European Vacation (aka National Lampoon's European Vacation) (1985)
2487,Tora! Tora! Tora! (1970)
2488,"Cutting Edge, The (1992)"
2489,Never Cry Wolf (1983)
2490,Dog Day Afternoon (1975)
2491,Missing in Action (1984)
2492,"Replacements, The (2000)"
2493,"Longest Yard, The (1974)"
2494,Collateral Damage (2002)
2495,Murder by Numbers (2002)
2496,"Pink Panther, The (1963)"
2497,"Brady Bunch Movie, The (1995)"
2498,Hard Core Logo (1996)
2499,Drugstore Cowboy (1989)
2500,Antonia's Line (Antonia) (1995)
2501,"Boys of St. Vincent, The (1992)"
2502,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
2503,Destiny Turns on the Radio (1995)
2504,Three Colors: Red (Trois couleurs: Rouge) (1994)
2505,"Ref, The (1994)"
2506,It's My Party (1996)
2507,"Beach, The (2000)"
2508,Bedazzled (2000)
2509,Shallow Hal (2001)
2510,Matchstick Men (2003)
2511,Duplex (2003)
2512,Along Came Polly (2004)
2513,13 Going on 30 (2004)
2514,Closer (2004)
2515,Harry Potter and the Order of the Phoenix (2007)
2516,Lars and the Real Girl (2007)
2517,P.S. I Love You (2007)
2518,Sex and the City (2008)
2519,Let the Right One In (Låt den rätte komma in) (2008)
2520,Marley & Me (2008)
2521,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)"
2522,Senna (2010)
2523,Incendies (2010)
2524,Horrible Bosses (2011)
2525,"Separation, A (Jodaeiye Nader az Simin) (2011)"
2526,"Cabin in the Woods, The (2012)"
2527,"Hunt, The (Jagten) (2012)"
2528,Silver Linings Playbook (2012)
2529,Before Midnight (2013)
2530,"Place Beyond the Pines, The (2012)"
2531,Blue Jasmine (2013)
2532,Maleficent (2014)
2533,The Fault in Our Stars (2014)
2534,Boyhood (2014)
2535,Nightcrawler (2014)
2536,Wild Tales (2014)
2537,Fifty Shades of Grey (2015)
2538,The Hateful Eight (2015)
2539,Batman v Superman: Dawn of Justice (2016)
2540,Boomerang (1992)
2541,"Brothers McMullen, The (1995)"
2542,Drop Zone (1994)
2543,8 Seconds (1994)
2544,Airheads (1994)
2545,Being Human (1993)
2546,Blue Chips (1994)
2547,Clean Slate (1994)
2548,Color of Night (1994)
2549,"Getaway, The (1994)"
2550,Threesome (1994)
2551,Girl 6 (1996)
2552,"Fan, The (1996)"
2553,Madonna: Truth or Dare (1991)
2554,Cape Fear (1991)
2555,Beverly Hills Ninja (1997)
2556,"Beautician and the Beast, The (1997)"
2557,Booty Call (1997)
2558,"Devil's Own, The (1997)"
2559,Romy and Michele's High School Reunion (1997)
2560,Mad City (1997)
2561,"Postman, The (1997)"
2562,Primary Colors (1998)
2563,City of Angels (1998)
2564,Friday the 13th Part 2 (1981)
2565,Friday the 13th Part 3: 3D (1982)
2566,St. Elmo's Fire (1985)
2567,"Slums of Beverly Hills, The (1998)"
2568,Simon Birch (1998)
2569,What Dreams May Come (1998)
2570,Holy Man (1998)
2571,"Big Chill, The (1983)"
2572,Rambo III (1988)
2573,"Civil Action, A (1998)"
2574,Message in a Bottle (1999)
2575,Jawbreaker (1999)
2576,8MM (1999)
2577,"Mod Squad, The (1999)"
2578,"Out-of-Towners, The (1999)"
2579,Pushing Tin (1999)
2580,Summer of Sam (1999)
2581,Lake Placid (1999)
2582,Brokedown Palace (1999)
2583,National Lampoon's Vacation (1983)
2584,Funny Farm (1988)
2585,Mickey Blue Eyes (1999)
2586,"Astronaut's Wife, The (1999)"
2587,For Love of the Game (1999)
2588,Deliverance (1972)
2589,Three Kings (1999)
2590,Random Hearts (1999)
2591,"Natural, The (1984)"
2592,"Distinguished Gentleman, The (1992)"
2593,U2: Rattle and Hum (1988)
2594,Next Friday (2000)
2595,"Girl, Interrupted (1999)"
2596,Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993)
2597,Far and Away (1992)
2598,Singles (1992)
2599,Boiler Room (2000)
2600,What Planet Are You From? (2000)
2601,My Life (1993)
2602,Caddyshack (1980)
2603,Big Momma's House (2000)
2604,"Toxic Avenger, Part II, The (1989)"
2605,"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)"
2606,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991)
2607,Autumn in New York (2000)
2608,Air America (1990)
2609,Get Carter (2000)
2610,Bounce (2000)
2611,Born on the Fourth of July (1989)
2612,"Officer and a Gentleman, An (1982)"
2613,Mystic Pizza (1988)
2614,Untamed Heart (1993)
2615,Beverly Hills Cop II (1987)
2616,Eddie Murphy Raw (1987)
2617,Mannequin (1987)
2618,Down to Earth (2001)
2619,Sweet November (2001)
2620,Navy Seals (1990)
2621,"World According to Garp, The (1982)"
2622,Summer Rental (1985)
2623,Love Potion #9 (1992)
2624,City Slickers (1991)
2625,Eight Men Out (1988)
2626,Throw Momma from the Train (1987)
2627,Catch-22 (1970)
2628,Point Break (1991)
2629,"Seven Year Itch, The (1955)"
2630,Tootsie (1982)
2631,"Cannonball Run, The (1981)"
2632,"Last Dragon, The (1985)"
2633,Above the Law (1988)
2634,Big Top Pee-Wee (1988)
2635,"Bright Lights, Big City (1988)"
2636,Cocktail (1988)
2637,"Great Outdoors, The (1988)"
2638,Johnny Be Good (1988)
2639,"Serpent and the Rainbow, The (1988)"
2640,Always (1989)
2641,American Ninja (1985)
2642,Casualties of War (1989)
2643,Major League (1989)
2644,Next of Kin (1989)
2645,Road House (1989)
2646,Uncle Buck (1989)
2647,Weekend at Bernie's II (1993)
2648,Home for the Holidays (1995)
2649,Kiss of Death (1995)
2650,Lassie (1994)
2651,RoboCop 3 (1993)
2652,"Adventures of Pinocchio, The (1996)"
2653,Children of the Corn IV: The Gathering (1996)
2654,Four Rooms (1995)
2655,Kids in the Hall: Brain Candy (1996)
2656,Barb Wire (1996)
2657,High School High (1996)
2658,Chain Reaction (1996)
2659,1-900 (06) (1994)
2660,Friday (1995)
2661,Father of the Bride (1950)
2662,D3: The Mighty Ducks (1996)
2663,"Fox and the Hound, The (1981)"
2664,My Fellow Americans (1996)
2665,Prefontaine (1997)
2666,"Edge, The (1997)"
2667,Indian Summer (a.k.a. Alive & Kicking) (1996)
2668,Half Baked (1998)
2669,"Replacement Killers, The (1998)"
2670,Major League: Back to the Minors (1998)
2671,"Big Hit, The (1998)"
2672,You Can't Take It with You (1938)
2673,D2: The Mighty Ducks (1994)
2674,Roger & Me (1989)
2675,Swing Kids (1993)
2676,"Addams Family, The (1991)"
2677,Dirty Work (1998)
2678,Patch Adams (1998)
2679,200 Cigarettes (1999)
2680,Drop Dead Gorgeous (1999)
2681,"400 Blows, The (Les quatre cents coups) (1959)"
2682,"Bachelor, The (1999)"
2683,Stalag 17 (1953)
2684,"Hand That Rocks the Cradle, The (1992)"
2685,Stop! Or My Mom Will Shoot (1992)
2686,Single White Female (1992)
2687,Volunteers (1985)
2688,Ernest Goes to Camp (1987)
2689,Ernest Saves Christmas (1988)
2690,"Toy, The (1982)"
2691,Behind Enemy Lines (2001)
2692,Not Another Teen Movie (2001)
2693,40 Days and 40 Nights (2002)
2694,Showtime (2002)
2695,National Lampoon's Van Wilder (2002)
2696,Taking Care of Business (1990)
2697,Three Men and a Baby (1987)
2698,Top Secret! (1984)
2699,One Hour Photo (2002)
2700,Johnny Dangerously (1984)
2701,Captain Ron (1992)
2702,Ernest Scared Stupid (1991)
2703,Indian Summer (1993)
2704,Welcome to Mooseport (2004)
2705,Kicking & Screaming (2005)
2706,Evan Almighty (2007)
2707,Jason's Lyric (1994)
2708,Cujo (1983)
2709,Flashdance (1983)
2710,Steel Magnolias (1989)
2711,Pay It Forward (2000)
2712,Beaches (1988)
2713,Vanilla Sky (2001)
2714,John Q (2002)
2715,Under the Tuscan Sun (2003)
2716,Monster (2003)
2717,Kinsey (2004)
2718,"Inconvenient Truth, An (2006)"
2719,Half Nelson (2006)
2720,Reign Over Me (2007)
2721,Sicko (2007)
2722,Milk (2008)
2723,"Soloist, The (2009)"
2724,My Sister's Keeper (2009)
2725,Precious (2009)
2726,"Kids Are All Right, The (2010)"
2727,Rabbit Hole (2010)
2728,"Words, The (2012)"
2729,End of Watch (2012)
2730,Flight (2012)
2731,Side Effects (2013)
2732,Dallas Buyers Club (2013)
2733,Enemy (2013)
2734,I Origins (2014)
2735,Still Alice (2014)
2736,The Longest Ride (2015)
2737,Amy (2015)
2738,Room (2015)
2739,The Gift (2015)
2740,Straight Outta Compton (2015)
2741,Concussion (2015)
2742,Creed (2015)
2743,Planet Earth (2006)
2744,Hacksaw Ridge (2016)
2745,Hidden Figures (2016)
2746,Planet Earth II (2016)
2747,Alien³ (a.k.a. Alien 3) (1992)
2748,Treasure Planet (2002)
2749,"Chronicles of Riddick, The (2004)"
2750,"Apartment, The (1960)"
2751,8 1/2 (8½) (1963)
2752,Down by Law (1986)
2753,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983)
2754,Surf Nazis Must Die (1987)
2755,Village of the Damned (1960)
2756,Jules and Jim (Jules et Jim) (1961)
2757,"Conformist, The (Conformista, Il) (1970)"
2758,"Draughtsman's Contract, The (1982)"
2759,"Mirror, The (Zerkalo) (1975)"
2760,"Conversation, The (1974)"
2761,Fellini Satyricon (1969)
2762,"Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964)"
2763,Santa Sangre (1989)
2764,Breathless (À bout de souffle) (1960)
2765,That Obscure Object of Desire (Cet obscur objet du désir) (1977)
2766,"Party, The (1968)"
2767,Murder by Death (1976)
2768,8 Mile (2002)
2769,Burden of Dreams (1982)
2770,Journey to the Center of the Earth (1959)
2771,"Pink Panther Strikes Again, The (1976)"
2772,"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)"
2773,Funny Games (1997)
2774,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)"
2775,Mon Oncle (My Uncle) (1958)
2776,Chitty Chitty Bang Bang (1968)
2777,Persona (1966)
2778,Scenes From a Marriage (Scener ur ett äktenskap) (1973)
2779,"Wages of Fear, The (Salaire de la peur, Le) (1953)"
2780,Pierrot le fou (1965)
2781,Lola Montès (1955)
2782,Jin Roh: The Wolf Brigade (Jin-Rô) (1998)
2783,Safety Last! (1923)
2784,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979)
2785,"Dresser, The (1983)"
2786,Murder on the Orient Express (1974)
2787,"Fearless Vampire Killers, The (1967)"
2788,"SpongeBob SquarePants Movie, The (2004)"
2789,"Topo, El (1970)"
2790,"Holy Mountain, The (Montaña sagrada, La) (1973)"
2791,Hair (1979)
2792,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
2793,Dog Days (Hundstage) (2001)
2794,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)"
2795,Tanguy (2001)
2796,Holiday (Jour de fête) (1949)
2797,"Trip to the Moon, A (Voyage dans la lune, Le) (1902)"
2798,Quo Vadis (1951)
2799,Woyzeck (1979)
2800,Brainstorm (2001)
2801,Marie Antoinette (2006)
2802,High School Musical (2006)
2803,Orchestra Rehearsal (Prova d'orchestra) (1978)
2804,Paprika (Papurika) (2006)
2805,FLCL (2000)
2806,"Wave, The (Welle, Die) (2008)"
